iso3,year,gdppc
LBN,2008,7701.29823027979
LBN,2007,7179.34520092306
LBN,2006,6696.37428200596
LBN,2005,6707.18024635316
LBN,2004,6633.75258002393
LBN,2003,6319.76518298647
LBN,2002,6207.24133893746
LBN,2001,6085.76041420146
LBN,2000,5958.97836750301
LSO,2024,1012.59379523386
LSO,2023,973.116561960912
LSO,2022,967.51928598325
LSO,2021,955.221236301503
LSO,2020,944.834128375429
LSO,2019,1040.99351014117
LSO,2018,1068.44462913373
LSO,2017,1097.82166812752
LSO,2016,1147.58748801671
LSO,2015,1121.19851342518
LSO,2014,1100.04993684215
LSO,2013,1093.95323489272
LSO,2012,1086.39034816283
LSO,2011,1031.99721564343
LSO,2010,995.233432451681
LSO,2009,952.747929746529
LSO,2008,971.881366821351
LSO,2007,927.26863327342
LSO,2006,893.750686627156
LSO,2005,853.960500629797
LSO,2004,817.793597897186
LSO,2003,798.540500554454
LSO,2002,760.033443180306
LSO,2001,752.243212493971
LSO,2000,725.263668707773
LBR,2024,665.101337624192
LBR,2023,653.329188343162
LBR,2022,638.005183858289
LBR,2021,621.927983063426
LBR,2020,605.025475431411
LBR,2019,636.699384824869
LBR,2018,665.875439637137
LBR,2017,671.260899835355
LBR,2016,668.031513175601
LBR,2015,692.590082351257
LBR,2014,707.157694930142
LBR,2013,717.007280358975
LBR,2012,674.360011422232
LBR,2011,646.908727016597
LBR,2010,621.783295071575
LBR,2009,603.256211077605
LBR,2008,591.185378141907
LBR,2007,574.609394348543
LBR,2006,551.377446611852
LBR,2005,539.665378841936
LBR,2004,535.995882066218
LBR,2003,528.567395543421
LBR,2002,762.716393927064
LBR,2001,754.422355762017
LBR,2000,754.850917360951
LBY,2024,7696.0807819319
LBY,2023,7630.49664928174
LBY,2022,7002.68189296358
LBY,2021,7731.35448152581
LBY,2020,6102.79864032512
LBY,2019,8768.4104874586
LBY,2018,10020.9165751361
LBY,2017,9435.60060040046
LBY,2016,7236.16409923502
LBY,2015,7458.48917756374
LBY,2014,7644.24843947404
LBY,2013,10126.314927806
LBY,2012,12599.258882136
LBY,2011,6569.59477578957
LBY,2010,12913.9334939386
LBY,2009,12549.0854345521
LBY,2008,13403.0004645911
LBY,2007,13712.9602583972
LBY,2006,13176.7758911904
LBY,2005,12628.896152656
LBY,2004,11529.1086646221
LBY,2003,11267.0627623548
LBY,2002,10170.3095776338
LBY,2001,10467.8776146012
LBY,2000,10853.8059516526
LIE,2024,
LIE,2023,
LIE,2022,
LIE,2021,
LIE,2020,
LIE,2019,
LIE,2018,
LIE,2017,
LIE,2016,
LIE,2015,167187.15730982
LIE,2014,
LIE,2013,
LIE,2012,
LIE,2011,
LIE,2010,
LIE,2009,
LIE,2008,
LIE,2007,
LIE,2006,
LIE,2005,
LIE,2004,
LIE,2003,
LIE,2002,
LIE,2001,
LIE,2000,
LTU,2024,19205.4152293136
LTU,2023,18748.9302647191
LTU,2022,18873.8427527274
LTU,2021,18572.2895051093
LTU,2020,17443.65526328
LTU,2019,17431.7239081591
LTU,2018,16604.9021440809
LTU,2017,15695.9993288456
LTU,2016,14823.107153522
LTU,2015,14269.8039878287
LTU,2014,13753.1895982305
LTU,2013,13145.8069309969
LTU,2012,12516.6184065667
LTU,2011,11836.7200384033
LTU,2010,10884.1161852582
LTU,2009,10612.9204044582
LTU,2008,12324.5197331387
LTU,2007,11889.3545234657
LTU,2006,10577.2145522871
LTU,2005,9692.86853763267
LTU,2004,8851.92598922347
LTU,2003,8218.69336289848
LTU,2002,7374.0979710116
LTU,2001,6854.52512826671
LTU,2000,6384.30865426374
LUX,2024,104147.111291588
LUX,2023,105422.764660192
LUX,2022,107467.123965307
LUX,2021,110873.115269021
LUX,2020,105274.182260744
LUX,2019,107591.899505248
LUX,2018,106788.661202756
LUX,2017,107142.05542835
LUX,2016,108351.452194449
LUX,2015,105462.012584423
LUX,2014,105585.401767492
LUX,2013,105340.41498623
LUX,2012,104489.298083328
LUX,2011,105292.012346074
LUX,2010,106545.854916218
LUX,2009,104576.122195434
LUX,2008,110096.656683086
LUX,2007,112422.146493735
LUX,2006,105618.332853323
LUX,2005,101226.109631791
LUX,2004,100296.956996628
LUX,2003,97603.4028137275
LUX,2002,96275.0321314871
LUX,2001,94249.1625853478
LUX,2000,92533.1393756479
MAC,2024,63377.2932129214
MAC,2023,59474.3964251614
MAC,2022,34000.7134128308
MAC,2021,41634.2386139903
MAC,2020,33853.7761550109
MAC,2019,75724.6078280261
MAC,2018,79178.6506290559
MAC,2017,75650.1261840452
MAC,2016,68391.3415491921
MAC,2015,69902.9605741233
MAC,2014,92383.8434915276
MAC,2013,99054.4980289716
MAC,2012,93192.885853941
MAC,2011,88168.9713699088
MAC,2010,74195.0577762344
MAC,2009,59528.8350159491
MAC,2008,58146.3285846714
MAC,2007,58376.1176047275
MAC,2006,53240.2045750276
MAC,2005,49470.940295748
MAC,2004,47665.9330386643
MAC,2003,38581.6976189322
MAC,2002,34967.8914561813
MAC,2001,32441.6760183581
MAC,2000,31772.6302531656
MDG,2024,453.957809653992
MDG,2023,445.874102052267
MDG,2022,438.438112102315
MDG,2021,431.599103077746
MDG,2020,422.924255422319
MDG,2019,467.27741349648
MDG,2018,459.330367799543
MDG,2017,456.851859574031
MDG,2016,451.15659433146
MDG,2015,445.320069480568
MDG,2014,443.343869908205
MDG,2013,440.674658903628
MDG,2012,442.641500123543
MDG,2011,441.755158414121
MDG,2010,447.417143030687
MDG,2009,457.789754866068
MDG,2008,490.963935389518
MDG,2007,473.785462328449
MDG,2006,461.540337897729
MDG,2005,450.955230911228
MDG,2004,443.278654985967
MDG,2003,433.601040301214
MDG,2002,406.70122213637
MDG,2001,478.40561494987
MDG,2000,465.529509827021
MWI,2024,551.95152347056
MWI,2023,557.03523965791
MWI,2022,560.635759714941
MWI,2021,569.968967322435
MWI,2020,559.447086086067
MWI,2019,569.866249371948
MWI,2018,553.528790902088
MWI,2017,544.795729220349
MWI,2016,538.221990810959
MWI,2015,539.605363240686
MWI,2014,539.562601918057
MWI,2013,525.357645516557
MWI,2012,512.74031797451
MWI,2011,517.833736624232
MWI,2010,508.088650552846
MWI,2009,489.631418790158
MWI,2008,465.55147298007
MWI,2007,445.254305419586
MWI,2006,417.877689776503
MWI,2005,410.267979592536
MWI,2004,408.064916052765
MWI,2003,397.224846758815
MWI,2002,385.308980237095
MWI,2001,388.260039763569
MWI,2000,418.592985038462
MYS,2024,11883.79127749
MYS,2023,11445.3925275079
MYS,2022,11191.6511756943
MYS,2021,10388.2667120857
MYS,2020,10171.4657842762
MYS,2019,10902.9834855856
MYS,2018,10610.1950240479
MYS,2017,10293.7629205362
MYS,2016,9901.47960179812
MYS,2015,9648.6797937523
MYS,2014,9341.73055971278
MYS,2013,8964.80724896203
MYS,2012,8710.52671359902
MYS,2011,8400.32248683558
MYS,2010,8118.92270511981
MYS,2009,7700.46111294033
MYS,2008,7976.11785374773
MYS,2007,7769.59693350488
MYS,2006,7469.8106921211
MYS,2005,7234.02442689141
MYS,2004,7025.34558004381
MYS,2003,6732.92049458099
MYS,2002,6516.90671560155
